date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-23,137.38,137.48,136.3,136.53,20788186,20788186,-0.58,-0.423,136.6922,"Feb 23, 17",0.8933599963389217
2017-02-24,135.91,136.66,135.28,136.66,21776585,21776585,0.13,0.095,135.9929,"Feb 24, 17",0.8951628001148247
2017-02-27,137.14,137.435,136.28,136.93,20257426,20257426,0.27,0.198,136.9751,"Feb 27, 17",0.8989070848801622
2017-02-28,137.08,137.435,136.7,136.99,23482860,23482860,0.06,0.044,137.0512,"Feb 28, 17",0.8997391481613484
2017-03-01,137.89,140.15,137.595,139.79,36414585,36414585,2.8,2.044,139.3509,"Mar 1, 17",0.9385687679500319
2017-03-02,140,140.2786,138.76,138.96,26210984,26210984,-0.83,-0.594,139.3863,"Mar 2, 17",0.9270585592269579
2017-03-03,138.78,139.83,138.59,139.78,21571121,21571121,0.82,0.59,139.3979,"Mar 3, 17",0.938430090736501
2017-03-06,139.365,139.77,138.5959,139.34,21750044,21750044,-0.44,-0.315,139.1184,"Mar 6, 17",0.9323282933411364
2017-03-07,139.06,139.98,138.79,139.52,17446297,17446297,0.18,0.129,139.4778,"Mar 7, 17",0.9348244831846947
2017-03-08,138.95,139.8,138.82,139,18707236,18707236,-0.52,-0.373,139.226,"Mar 8, 17",0.9276132680810819
2017-03-09,138.74,138.79,137.05,138.68,22155904,22155904,-0.32,-0.23,138.327,"Mar 9, 17",0.9231755972480896
2017-03-10,139.25,139.3571,138.64,139.14,19612801,19612801,0.46,0.332,139.0738,"Mar 10, 17",0.9295547490705159
2017-03-13,138.85,139.43,138.82,139.2,17421717,17421717,0.06,0.043,139.1249,"Mar 13, 17",0.930386812351702
2017-03-14,139.3,139.65,138.84,138.99,15309065,15309065,-0.21,-0.151,139.1093,"Mar 14, 17",0.927474590867551
2017-03-15,139.41,140.7501,139.025,140.46,25691774,25691774,1.47,1.058,139.9725,"Mar 15, 17",0.9478601412566099
